No,Category,Pattern,Motion_Level,Description,Implementation_Hint,Best_For,Avoid_When,Complexity
1,Navigation,Mac OS Dock Magnification,5+,Nav-bar at edge with icons that scale fluidly on hover,Framer Motion useMotionValue + useTransform for scale,Creative portfolios · SaaS landing pages,Mobile-only apps · Data dashboards,Medium
2,Navigation,Magnetic Button,5+,Buttons physically pull toward cursor with spring physics,useMotionValue + useTransform (NOT useState) for 60fps,Premium CTAs · Hero sections · Product pages,Mobile (no hover) · Accessibility-first,Medium
3,Navigation,Gooey Menu,7+,Sub-items detach from main button like viscous liquid,SVG filter feTurbulence + CSS clip-path animation,Creative agencies · Portfolio sites,Corporate · Healthcare · Finance,High
4,Navigation,Dynamic Island,4+,Pill-shaped UI component morphing to show status/alerts,Framer Motion layoutId for shared element transitions,SaaS dashboards · Mobile web · Notification UIs,Content-heavy sites · E-commerce,Medium
5,Navigation,Contextual Radial Menu,6+,Circular menu expanding at exact click coordinates,Calculate angle from click coords + stagger reveal,Creative tools · Design apps · Gaming UI,E-commerce · Forms · Corporate,High
6,Navigation,Floating Speed Dial,4+,FAB springing into curved line of secondary actions,Framer Motion staggerChildren + curved transform,Mobile-first apps · Admin dashboards,Landing pages · Content sites,Medium
7,Navigation,Mega Menu Reveal,4+,Full-screen dropdown with stagger-fade complex content,AnimatePresence + staggerChildren for section reveals,E-commerce · SaaS with many features,Simple sites · Mobile,Medium
8,Layout,Bento Grid,3+,Asymmetric tile-based grouping (Apple Control Center style),CSS Grid with varied col-span/row-span combinations,SaaS features · Dashboards · Portfolio,Simple landing pages · Text-heavy,Medium
9,Layout,Masonry Layout,2+,Staggered grid without fixed row heights (Pinterest style),CSS columns or Masonry.js + IntersectionObserver,Portfolios · Image galleries · Social feeds,Data tables · Forms · E-commerce lists,Medium
10,Layout,Chroma Grid,5+,Grid with continuously animating subtle color gradients on borders/tiles,CSS @keyframes hue-rotate on border-image or bg-gradient,Creative agencies · AI/tech products,Healthcare · Finance · Government,Medium
11,Layout,Split Screen Scroll,6+,Two screen halves sliding in opposite directions on scroll,GSAP ScrollTrigger with y transforms in opposite dirs,Storytelling · Product comparisons,Dashboards · Data-heavy pages,High
12,Layout,Curtain Reveal,7+,Hero parting in middle like curtain on scroll,GSAP ScrollTrigger + clip-path polygon animation,Product launches · Creative landing pages,Corporate · SaaS tools,High
13,Cards,Parallax Tilt Card,4+,3D-tilting card tracking mouse coordinates,CSS perspective + transform rotateX/Y from mouse position,Product showcases · Feature highlights,Mobile · Accessibility-first,Medium
14,Cards,Spotlight Border Card,4+,Card borders illuminate dynamically under cursor,CSS conic-gradient rotating from cursor angle,SaaS features · Pricing cards · Portfolios,Data tables · Forms,Medium
15,Cards,Glassmorphism Panel,3+,True frosted glass with inner refraction borders,backdrop-blur + border-white/10 + inset shadow for edge refraction,Dashboards · Overlays · Modal backgrounds,Print-style · High readability needs,Low
16,Cards,Holographic Foil Card,7+,Iridescent rainbow light reflections shifting on hover,CSS background with multi-gradient + mouse-tracked transform,Premium products · NFT/crypto · Gaming,Corporate · Healthcare · Legal,High
17,Cards,Tinder Swipe Stack,5+,Physical stack of cards user can swipe away,Framer Motion drag + onDragEnd with velocity-based dismiss,Dating · Social · Decision-making UIs,Enterprise · Data tables,High
18,Cards,Morphing Modal,5+,Button seamlessly expanding into own full-screen dialog,Framer Motion layoutId for shared element transition,Product details · Image expand · Profiles,Simple confirm dialogs · Alerts,Medium
19,Scroll,Sticky Scroll Stack,5+,Cards stick to top and physically stack over each other,GSAP ScrollTrigger pin + scale/opacity transforms,Feature showcases · Pricing tiers · Timelines,Short pages · Mobile (perf),Medium
20,Scroll,Horizontal Scroll Hijack,6+,Vertical scroll translates into smooth horizontal gallery pan,GSAP ScrollTrigger + horizontal x transform,Portfolio galleries · Product timelines,Content-heavy pages · Accessibility,High
21,Scroll,Locomotive Scroll Sequence,8+,Video/3D sequences with framerate tied to scrollbar,Locomotive Scroll or GSAP with frame-by-frame playback,Product demos · Storytelling · Apple-style,Low-bandwidth targets · Mobile-first,High
22,Scroll,Zoom Parallax,5+,Central background image zooming in/out on scroll,GSAP ScrollTrigger + scale transform on bg element,Landing page heroes · Product reveals,Text-heavy content · Dashboards,Medium
23,Scroll,Scroll Progress Path,4+,SVG lines drawing themselves as user scrolls,SVG stroke-dashoffset animated by scroll progress,Storytelling · Timelines · Process flows,Short pages · Dashboards,Medium
24,Scroll,Liquid Swipe Transition,8+,Page transitions wiping screen like viscous liquid,SVG clip-path morph animation on route change,Creative agencies · Portfolio · Art sites,Enterprise · E-commerce checkout,High
25,Gallery,Dome Gallery,8+,3D gallery feeling like panoramic dome,Three.js sphere geometry with image textures,Art portfolios · Virtual tours · Museums,E-commerce · SaaS · Corporate,High
26,Gallery,Coverflow Carousel,5+,3D carousel with center focused and edges angled back,CSS perspective + rotateY transforms + scale on active,Product showcases · Team pages · Testimonials,Data tables · Forms · Mobile-first,Medium
27,Gallery,Drag-to-Pan Grid,4+,Boundless grid freely draggable in any direction,Framer Motion drag constraints + momentum,Mood boards · Design tools · Spatial UIs,Standard websites · Linear content,Medium
28,Gallery,Accordion Image Slider,3+,Narrow image strips expanding fully on hover,CSS flex + transition on hover width change,Portfolio · Product categories · Team,Mobile (hover-dependent) · Text content,Low
29,Gallery,Hover Image Trail,6+,Mouse leaves trail of popping/fading images,Track mouse + spawn positioned images with opacity fade,Creative agencies · Fashion · Art,Corporate · Healthcare · Mobile,Medium
30,Gallery,Glitch Effect Image,5+,Brief RGB-channel shifting digital distortion on hover,CSS mix-blend-mode + translateX on individual channels,Tech/gaming · Cyberpunk aesthetic · Music,Healthcare · Finance · Government,Medium
31,Typography,Kinetic Marquee,3+,Endless text bands reversing direction or speeding on scroll,CSS @keyframes translateX infinite + scroll observer,Announcements · Brand statements · Tickers,Main content · Long reading,Low
32,Typography,Text Mask Reveal,6+,Massive text as transparent window to video background,CSS background-clip: text + video background,Hero sections · Brand reveals · Portfolios,Body text · Data displays,Medium
33,Typography,Text Scramble Effect,5+,Matrix-style character decoding on load or hover,JS interval cycling random chars → target chars,Tech products · Developer tools · Gaming,Healthcare · Children · Legal,Medium
34,Typography,Circular Text Path,4+,Text curved along spinning circular SVG path,SVG textPath element + CSS rotate animation,Badges · Loading states · Creative accents,Body content · Navigation · Data,Medium
35,Typography,Gradient Stroke Animation,5+,Outlined text with gradient continuously running along stroke,-webkit-text-stroke + animated bg-gradient,Hero headings · Creative landing · Fashion,Corporate · Data dashboards,Medium
36,Typography,Kinetic Typography Grid,7+,Grid of letters dodging or rotating away from cursor,Track cursor + transform individual letter elements,Creative portfolios · Art · Experimental,Corporate · E-commerce · Healthcare,High
37,Micro-Interaction,Particle Explosion Button,6+,CTAs shattering into particles upon success,Canvas API or tsParticles on click success state,Gaming · Creative · Celebrations,Forms · Enterprise · Serious UIs,Medium
38,Micro-Interaction,Liquid Pull-to-Refresh,5+,Mobile reload indicators acting like detaching water droplets,SVG morph + touch event tracking,Mobile web apps · Social feeds,Desktop-only · Non-refreshable,High
39,Micro-Interaction,Directional Hover Button,4+,Hover fill entering from exact side mouse entered,Track mouse entry direction + clip-path animation,CTAs · Navigation · Card actions,Mobile (no hover) · Accessibility,Medium
40,Micro-Interaction,Ripple Click Effect,3+,Visual waves rippling from click coordinates,CSS radial-gradient expanding from pointer position,Buttons · Cards · List items,Already using Material Design,Low
41,Micro-Interaction,Animated SVG Line Drawing,4+,Vectors drawing their own contours in real-time,SVG stroke-dasharray + dashoffset animation,Icons · Illustrations · Loading states,Photo-heavy · Data displays,Medium
42,Micro-Interaction,Mesh Gradient Background,3+,Organic lava-lamp animated color blobs,CSS @keyframes on multiple radial-gradients + blur,Hero backgrounds · SaaS · AI products,Text-heavy · Print-style · Content,Low
43,Micro-Interaction,Lens Blur Depth,4+,Dynamic focus blurring background to highlight foreground,CSS backdrop-filter blur on z-layers,Modals · Focus modes · Spotlight UIs,Full-page blur (performance),Low
44,Bento,Intelligent List,5+,Vertical stack with infinite auto-sorting loop simulating AI prioritization,Framer Motion layoutId for smooth position swaps,AI dashboards · Task managers · SaaS,Static content · Simple sites,Medium
45,Bento,Command Input,5+,Search/AI bar with multi-step typewriter cycling complex prompts,JS interval for typewriter + blinking cursor + shimmer loading,AI products · SaaS search · Developer tools,Simple search · E-commerce,Medium
46,Bento,Live Status,4+,Scheduling interface with breathing status indicators and spring pop-up badges,CSS @keyframes pulse + Framer overshoot spring,Dashboards · Monitoring · Calendars,Static content · Blog posts,Medium
47,Bento,Wide Data Stream,3+,Horizontal infinite carousel of data cards/metrics,"Framer Motion x: ['0%' '-100%'] with seamless loop",Analytics · Metrics · Social proof,Small datasets · Simple pages,Medium
48,Bento,Contextual UI Focus Mode,5+,Document view with staggered text highlight and floating action toolbar,Framer staggerChildren + float-in toolbar animation,Document editors · AI assistants · Reading,E-commerce · Landing pages,Medium
